Name,Club,Currency,Value
Juan Foyth,Spurs,£,12150000.0
Jordan Henderson,Liverpool,£,25200000.0
Isaac Hayden,Newcastle,£,7200000.0
Olivier Giroud,Chelsea,£,6300000.0
Ovie Ejaria,Liverpool,£,2880000.0
Paulo Gazzaniga,Spurs,£,2520000.0
Antonio Rüdiger,Chelsea,£,36000000.0
Naby Keïta,Liverpool,£,30150000.0
Ederson,Man City,£,50400000.0
Pablo Zabaleta,West Ham,£,720000.0
Kortney Hause,Aston Villa,£,5850000.0
Emerson,Chelsea,£,21600000.0
Andy Lonergan,Liverpool,£,225000.0
Giovani Lo Celso,Spurs,£,36000000.0
Mason Mount,Chelsea,£,36450000.0
Beni Baningime,Everton,£,1170000.0
Issa Diop,West Ham,£,25200000.0
Morgan Schneiderlin,Everton,£,8550000.0
Charlie Daniels,Bournemouth,£,1440000.0
Ben Woodburn,Liverpool,£,4050000.0
Michael Keane,Everton,£,18000000.0
Borja Bastón,Aston Villa,£,2880000.0
Brandon Williams,Man Utd,£,9900000.0
Daniel James,Man Utd,£,20250000.0
Axel Disasi,Reims,£,6480000.0
Michail Antonio,West Ham,£,8550000.0
Anwar El Ghazi,Aston Villa,£,7200000.0
Jannik Vestergaard,Southampton,£,10800000.0
Nemanja Matic,Man Utd,£,14400000.0
James Maddison,Leicester,£,43200000.0
Javier Manquillo,Newcastle,£,3600000.0
Nabil Bentaleb,Newcastle,£,3600000.0
Joel Matip,Liverpool,£,28800000.0
Willian,Chelsea,£,20250000.0
Joshua King,Bournemouth,£,14400000.0
Cameron Carter-Vickers,Spurs,£,1800000.0
Luke Garbutt,Everton,£,540000.0
Victor Lindelöf,Man Utd,£,25200000.0
John Stones,Man City,£,32400000.0
Bukayo Saka,Arsenal,£,18000000.0
Ayoze Pérez,Leicester,£,21600000.0
Indiana Vassilev,Aston Villa U23,£,225000.0
Matty James,Leicester,£,1080000.0
Jack Stacey,Bournemouth,£,2880000.0
Jonjo Shelvey,Newcastle,£,13050000.0
Nathan Redmond,Southampton,£,14400000.0
Sadio Mané,Liverpool,£,108000000.0
James Milner,Liverpool,£,5850000.0
Pierre-Emerick Aubameyang,Arsenal,£,50400000.0
Stuart Armstrong,Southampton,£,5850000.0
Tyrone Mings,Aston Villa,£,20250000.0
Kyle Walker,Man City,£,36000000.0
Jack Rose,Southampton,£,90000.0
Michy Batshuayi,Chelsea,£,15750000.0
Oleksandr Zinchenko,Man City,£,21600000.0
Alex Oxlade-Chamberlain,Liverpool,£,25200000.0
Adama Traoré,Wolves,£,22950000.0
Christian Pulisic,Chelsea,£,48600000.0
Federico Fernández,Newcastle,£,4950000.0
Toby Alderweireld,Spurs,£,21600000.0
Mason Greenwood,Man Utd,£,26100000.0
Bartosz Kapustka,Leicester,£,1080000.0
Ahmed Elmohamady,Aston Villa,£,1800000.0
Michael Obafemi,Southampton,£,4050000.0
Erik Lamela,Spurs,£,14400000.0
Alex Iwobi,Everton,£,22950000.0
Mark Travers,Bournemouth,£,225000.0
Oriol Romeu,Southampton,£,7200000.0
Adrián,Liverpool,£,3600000.0
Scott Carson,Derby,£,720000.0
João Moutinho,Wolves,£,7200000.0
Djibril Sidibé,Everton,£,8550000.0
James Ward-Prowse,Southampton,£,13050000.0
Fraser Forster,Celtic,£,5850000.0
Leighton Baines,Everton,£,1440000.0
Leander Dendoncker,Wolves,£,20250000.0
Robert Snodgrass,West Ham,£,4320000.0
Nnamdi Ofoborh,Bournemouth,£,135000.0
Che Adams,Southampton,£,8550000.0
Matthew Pennington,Everton,£,720000.0
Gabriel Martinelli,Arsenal,£,22500000.0
John McGinn,Aston Villa,£,14400000.0
Sofiane Boufal,Southampton,£,7200000.0
Allan,SSC Napoli,£,28800000.0
Jonny Evans,Leicester,£,10800000.0
Dennis Praet,Leicester,£,17100000.0
Oumar Niasse,Everton,£,2880000.0
Oskar Buur,Wolves U23,£,90000.0
Harry Wilson,Bournemouth,£,15750000.0
Eldin Jakupovic,Leicester,£,540000.0
Fabian Schär,Newcastle,£,11700000.0
Dejan Lovren,Liverpool,£,14400000.0
Lucas Digne,Everton,£,25200000.0
Theo Walcott,Everton,£,10800000.0
Caglar Söyüncü,Leicester,£,28800000.0
Sam McQueen,Southampton,£,720000.0
Aaron Wan-Bissaka,Man Utd,£,28800000.0
Ryan Sessegnon,Spurs,£,28350000.0
James Bree,Aston Villa,£,1080000.0
Arijanet Muric,Man City,£,1620000.0
Rob Holding,Arsenal,£,8550000.0
Phil Jones,Man Utd,£,6300000.0
Trent Alexander-Arnold,Liverpool,£,89100000.0
Marcus Rashford,Man Utd,£,57600000.0
João Cancelo,Man City,£,32400000.0
John Ruddy,Wolves,£,1800000.0
Rúben Neves,Wolves,£,36000000.0
Luke Matheson,Wolves,£,810000.0
N'Golo Kanté,Chelsea,£,72000000.0
André Gomes,Everton,£,20250000.0
Freddie Woodman,Newcastle,£,2880000.0
Mohamed Salah,Liverpool,£,108000000.0
Lloyd Kelly,Bournemouth,£,7200000.0
Jorginho,Chelsea,£,46800000.0
David de Gea,Man Utd,£,36000000.0
Arthur Masuaku,West Ham,£,5850000.0
Sheyi Ojo,Liverpool,£,1440000.0
Jack Wilshere,West Ham,£,4320000.0
Danny Ward,Leicester,£,5850000.0
Brad Smith,Bournemouth,£,720000.0
Héctor Bellerín,Arsenal,£,28800000.0
Artur Boruc,Bournemouth,£,360000.0
Divock Origi,Liverpool,£,14400000.0
Eric Bailly,Man Utd,£,15750000.0
Ryotaro Meshino,Man City,£,405000.0
Bernard,Everton,£,14400000.0
Cameron Borthwick-Jackson,Man Utd,£,720000.0
Granit Xhaka,Arsenal,£,21600000.0
Tomas Soucek,West Ham,£,10800000.0
Tom Davies,Everton,£,14400000.0
Moussa Sissoko,Spurs,£,18000000.0
Lucas Torreira,Arsenal,£,32400000.0
Rob Elliot,Newcastle,£,540000.0
Sead Kolasinac,Arsenal,£,14400000.0
Joe Willock,Arsenal,£,14400000.0
Fabián Balbuena,West Ham,£,8550000.0
Angus Gunn,Southampton,£,5850000.0
Shane Long,Southampton,£,2520000.0
Christian Fuchs,Leicester,£,1440000.0
Daniel Podence,Wolves,£,10800000.0
Dominic Solanke,Bournemouth,£,10800000.0
Ainsley Maitland-Niles,Arsenal,£,13050000.0
Martin Dubravka,Newcastle,£,4950000.0
David Luiz,Arsenal,£,10800000.0
Marc Albrighton,Leicester,£,7200000.0
Morgan Gibbs-White,Wolves,£,6480000.0
César Azpilicueta,Chelsea,£,21600000.0
Ezri Konsa,Aston Villa,£,5850000.0
Dominic Calvert-Lewin,Everton,£,21600000.0
Paul Dummett,Newcastle,£,4950000.0
Benjamin Mendy,Man City,£,25200000.0
Gedson Fernandes,Spurs,£,12150000.0
DeAndre Yedlin,Newcastle,£,5850000.0
Josh Cullen,West Ham,£,1080000.0
Dele Alli,Spurs,£,57600000.0
Fernandinho,Man City,£,7200000.0
Felipe Anderson,West Ham,£,28800000.0
David Silva,Man City,£,10800000.0
